scorer,DLC_mobnet_100_C57Feb13shuffle1_375000,DLC_mobnet_100_C57Feb13shuffle1_375000,DLC_mobnet_100_C57Feb13shuffle1_375000,DLC_mobnet_100_C57Feb13shuffle1_375000,DLC_mobnet_100_C57Feb13shuffle1_375000,DLC_mobnet_100_C57Feb13shuffle1_375000,DLC_mobnet_100_C57Feb13shuffle1_375000,DLC_mobnet_100_C57Feb13shuffle1_375000,DLC_mobnet_100_C57Feb13shuffle1_375000,DLC_mobnet_100_C57Feb13shuffle1_375000,DLC_mobnet_100_C57Feb13shuffle1_375000,DLC_mobnet_100_C57Feb13shuffle1_375000
bodyparts,Focinho,Focinho,Focinho,OrelhaE,OrelhaE,OrelhaE,OrelhaD,OrelhaD,OrelhaD,Rabo,Rabo,Rabo
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
1856,307.462890625,8.656584739685059,0.9992628693580627,250.718017578125,72.41706085205078,0.9997610449790955,304.0498962402344,94.49703979492188,0.9998875856399536,189.39938354492188,124.71316528320312,0.9997641444206238
1857,299.71380615234375,5.2702531814575195,0.9822617769241333,244.1813201904297,70.51148986816406,0.9999454021453857,301.001220703125,91.51129913330078,0.9978341460227966,189.14015197753906,123.5316390991211,0.9997329115867615
1858,291.93310546875,4.206644058227539,0.9743691682815552,240.44790649414062,68.74752807617188,0.9997342228889465,295.0801696777344,90.19560241699219,0.9990185499191284,191.47372436523438,125.6058120727539,0.9998888969421387
1859,291.3739929199219,6.1600236892700195,0.9839613437652588,236.55860900878906,68.43983459472656,0.9998001456260681,293.4197692871094,91.02883911132812,0.9987216591835022,190.56703186035156,125.3224105834961,0.9998786449432373
1860,286.20928955078125,4.229558944702148,0.9965648055076599,237.25669860839844,69.81666564941406,0.9998883008956909,294.66973876953125,91.55155944824219,0.9994534850120544,190.7339324951172,125.88462829589844,0.999887228012085
1861,285.4792785644531,5.983110427856445,0.997635006904602,236.31228637695312,72.1824951171875,0.9997864365577698,292.62359619140625,93.78459167480469,0.9998726844787598,191.6878204345703,126.85531616210938,0.999909520149231
1862,285.9014587402344,10.201315879821777,0.9985973238945007,237.6672821044922,75.25347900390625,0.9989476799964905,292.716064453125,99.14820098876953,0.9999328851699829,188.7061309814453,131.08209228515625,0.9999065399169922
1863,295.7472229003906,15.936212539672852,0.9857783317565918,238.47886657714844,76.93209838867188,0.9996151924133301,292.4216003417969,102.81647491455078,0.9998999834060669,185.5283660888672,134.11297607421875,0.9999366998672485
1864,296.3144226074219,26.288471221923828,0.808795690536499,241.67547607421875,78.1892318725586,0.9997807145118713,291.4353332519531,108.71134185791016,0.9999113082885742,184.7967529296875,135.41163635253906,0.9999289512634277
1865,323.0483703613281,48.11884689331055,0.999992847442627,249.02859497070312,77.14976501464844,0.9998705387115479,289.0846862792969,118.42506408691406,0.9999624490737915,183.9879608154297,135.36244201660156,0.9999451637268066
